#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Recovered
1,USA,5409883,49581,170221 ,1090,2832109,19506,2407553,17335,16333,514,68477554,206737,331229890 ,North America,61,1946,5,1090
10,Spain,379799,2935,28605 ,26,N/A,N/A,N/A,617,8123,612,7472031,159806,46756944 ,Europe,123,1635,6,-1
100,Maldives,5494,128,21 ,0,2920,36,2553,12,10144,39,93098,171893,541605 ,Asia,99,25791,6,0
101,Djibouti,5358,0,59 ,0,5167,17,132,0,5414,60,62341,62995,989622 ,Africa,185,16773,16,-1
102,Zimbabwe,4990,97,128 ,6,1927,307,2935,0,335,9,149748,10059,14887351 ,Africa,2983,116307,99,6
103,Malawi,4912,160,153 ,1,2550,21,2209,4,256,8,37746,1968,19182969 ,Africa,3905,125379,508,-17
104,Equatorial Guinea,4821,0,83 ,0,2182,0,2556,0,3425,59,44356,31508,1407761 ,Africa,292,16961,32,0
105,Hungary,4813,45,607 ,2,3561,32,645,5,498,63,369545,38266,9657384 ,Europe,2007,15910,26,2
106,CAR,4652,0,61 ,0,1728,0,2863,2,961,13,29930,6185,4839131 ,Africa,1040,79330,162,0
107,Hong Kong,4313,69,65 ,2,3295,106,953,32,575,9,692430,92274,7504037 ,Asia,1740,115447,11,2
108,Nicaragua,4115,0,128 ,0,2913,0,1074,0,620,19,0,0,6633554 ,North America,1612,51825,0,-5
109,Montenegro,3857,44,73 ,0,2680,42,1104,0,6141,116,41235,65653,628076 ,Europe,163,8604,15,0
11,Iran,336324,2625,19162 ,174,292058,1814,25104,3971,3998,228,2788027,33145,84115247 ,Asia,250,4390,30,174
110,Congo,3745,0,60 ,0,1625,0,2060,0,677,11,0,0,5532739 ,Africa,1477,92212,0,-2
111,Namibia,3544,138,27 ,5,848,13,2669,14,1392,11,37797,14846,2546020 ,Africa,718,94297,67,5
112,Eswatini,3525,0,63 ,0,1910,0,1552,10,3035,54,27837,23965,1161545 ,Africa,330,18437,42,0
113,Thailand,3359,3,58 ,0,3169,0,132,1,48,0.8,749213,10731,69820757 ,Asia,20786,1203806,93,-3
114,Somalia,3227,0,93 ,0,1728,0,1406,2,202,6,0,0,15940309 ,Africa,4940,171401,0,0
115,Cuba,3174,46,89 ,1,2525,21,560,6,280,8,314499,27768,11325786 ,North America,3568,127256,36,1
116,Mayotte,3119,28,39 ,0,2940,105,140,1,11403,143,13000,47527,273527 ,Africa,88,7014,21,0
117,Cabo Verde,3073,73,33 ,0,2232,60,808,0,5520,59,61633,110715,556680 ,Africa,181,16869,9,0
118,Sri Lanka,2882,1,11 ,0,2646,8,225,1,135,0.5,166737,7783,21423831 ,Asia,7434,1947621,128,0
119,Slovakia,2739,49,31 ,0,1939,55,769,6,502,6,286852,52537,5459958 ,Europe,1993,176128,19,0
12,UK,313798,0,41347 ,18,N/A,N/A,N/A,70,4620,609,18868566,277774,67927863 ,Europe,216,1643,4,-170
