Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
World,32357175,270870,986153,4869,23865246,194507,7505776,63293,4151,126.5,0,0,0,All,0,0,0
Asia,9935637,122308,184233,1792,8229889,106816,1521515,20591,0,0,0,0,0,Asia,0,0,0
North America,8556627,44271,303747,1355,5404527,27738,2848353,17729,0,0,0,0,0,North America,0,0,0
South America,7728351,33516,243798,949,6565124,33361,919429,15725,0,0,0,0,0,South America,0,0,0
USA,7174692,35139,207290,694,4419573,20666,2547829,14089,21646,625,101354113,305788,331452210,North America,46,1599,3
India,5816103,85919,92317,1144,4752991,81141,970795,8944,4205,67,67436031,48756,1383122931,Asia,238,14982,21
Europe,4660712,62858,218705,596,2446990,16813,1995017,7770,0,0,0,0,0,Europe,0,0,0
Brazil,4657702,29922,139808,743,4023789,30903,494105,8318,21877,657,17900000,84074,212908548,South America,46,1523,12
Africa,1444262,7829,34755,172,1190073,9396,219434,1455,0,0,0,0,0,Africa,0,0,0
Russia,1128836,6595,19948,149,929829,6130,179059,2300,7734,137,43900000,300790,145949102,Europe,129,7316,3
Colombia,784268,0,24746,0,662277,0,97245,863,15376,485,3499136,68601,51007347,South America,65,2061,15
Peru,782695,0,31870,0,636489,0,114336,1381,23663,964,3751583,113421,33076571,South America,42,1038,9
Mexico,710049,4786,74949,601,510237,3505,124863,2677,5494,580,1620878,12541,129243704,North America,182,1724,80
Spain,704209,10653,31118,84,N/A,N/A,N/A,1445,15060,665,11820505,252796,46759015,Europe,66,1503,4
South Africa,667049,1861,16283,77,595916,1687,54850,539,11215,274,4102162,68968,59479626,Africa,89,3653,14
Argentina,664799,0,14376,0,525486,0,124937,3511,14678,317,1815738,40090,45291222,South America,68,3150,25
France,497237,16096,31511,52,94413,875,371313,1048,7614,483,10035395,153664,65307193,Europe,131,2073,7
Chile,451634,1731,12469,124,426876,1711,12289,890,23579,651,3113195,162535,19154009,South America,42,1536,6
Iran,436319,3521,25015,175,367829,1983,43475,3957,5180,297,3854827,45761,84238612,Asia,193,3368,22
UK,416363,6634,41902,40,N/A,N/A,N/A,228,6126,616,22901019,336935,67968701,Europe,163,1622,3
Bangladesh,355384,1540,5072,28,265092,2139,85220,0,2153,31,1875537,11362,165066418,Asia,464,32545,88
Iraq,337106,4471,8799,45,268761,3773,59546,527,8339,218,2141885,52985,40424684,Asia,120,4594,19
Saudi Arabia,331857,498,4599,30,314793,1007,12465,1090,9499,132,6236859,178517,34937072,Asia,105,7597,6
Turkey,309790,1721,7785,74,271964,1241,30041,1573,3664,92,9721687,114985,84547285,Asia,273,10860,9
Pakistan,308217,799,6437,5,294392,476,7388,548,1389,29,3306515,14904,221859289,Asia,720,34466,67
Italy,304323,1786,35781,23,221762,1097,46780,246,5035,592,10787694,178483,60440954,Europe,199,1689,6
Philippines,296755,2180,5127,36,231928,580,59700,1758,2700,47,3508642,31922,109914017,Asia,370,21438,31
Germany,281345,2140,9519,11,249500,0,22326,293,3355,114,15642654,186563,83846303,Europe,298,8808,5
Indonesia,262022,4634,10105,128,191853,3895,60064,0,956,37,3074814,11214,274187457,Asia,1046,27134,89
Israel,212115,7425,1378,53,148813,3850,61924,685,23062,150,3250805,353441,9197590,Asia,43,6675,3
Ukraine,188106,3372,3757,52,83458,1788,100891,177,4307,86,2102377,48141,43671581,Europe,232,11624,21
Canada,148788,1035,9246,3,128344,556,11198,86,3934,244,6833661,180697,37818373,North America,254,4090,6
Bolivia,131990,537,7731,38,91556,703,32703,71,11272,660,292016,24939,11709345,South America,89,1515,40
Ecuador,131146,1254,11213,42,102852,0,17081,361,7408,633,403851,22811,17703980,South America,135,1579,44
Qatar,124425,250,212,0,121263,257,2950,62,44314,76,745130,265378,2807805,Asia,23,13244,4
Romania,118054,1639,4591,41,94877,1319,18586,506,6146,239,2302828,119893,19207285,Europe,163,4184,8
Dominican Republic,110122,385,2076,2,84018,584,24028,213,10128,191,458581,42176,10872904,North America,99,5237,24
Morocco,110099,2356,1956,38,90186,1942,17957,289,2975,53,2481151,67039,37010720,Africa,336,18922,15
Panama,107990,0,2291,0,84437,0,21262,122,24939,529,447769,103406,4330196,North America,40,1890,10
Kazakhstan,107529,79,1699,0,102323,259,3507,221,5711,90,2733455,145179,18828115,Asia,175,11082,7
Belgium,106887,1661,9959,4,19079,40,77849,95,9213,858,2986196,257401,11601339,Europe,109,1165,4
Netherlands,103141,2544,6312,16,N/A,N/A,N/A,121,6016,368,2240526,130691,17143713,Europe,166,2716,8
Egypt,102513,138,5835,13,92644,801,4034,41,997,57,135000,1314,102770038,Africa,1003,17613,761
Kuwait,101851,552,592,2,92961,620,8298,101,23769,138,725025,169203,4284945,Asia,42,7238,6
Oman,95907,568,885,10,86765,283,8257,185,18675,172,376700,73352,5135534,Asia,54,5803,14
Sweden,90289,0,5878,5,N/A,N/A,N/A,15,8927,581,1532632,151538,10113840,Europe,112,1721,7
UAE,88532,1002,407,1,77937,942,10188,0,8927,41,9130551,920628,9917747,Asia,112,24368,1
Guatemala,87933,491,3170,16,77125,666,7638,5,4888,176,302958,16840,17990424,North America,205,5675,59
China,85314,7,4634,0,80513,8,167,4,59,3,160000000,111163,1439323776,Asia,16871,310601,9
Poland,82809,1136,2369,25,66158,597,14282,91,2189,63,3201501,84613,37836886,Europe,457,15972,12
Japan,79768,0,1512,0,71981,0,6275,165,631,12,1859693,14714,126385305,Asia,1584,83588,68
Belarus,76651,294,802,6,73733,169,2116,0,8112,85,1776271,187993,9448595,Europe,123,11781,5
Honduras,72675,369,2222,16,24022,792,46431,20,7311,224,172323,17336,9940379,North America,137,4474,58
Ethiopia,71687,604,1148,7,29461,208,41078,267,620,10,1234645,10680,115598327,Africa,1613,100695,94
Portugal,71156,691,1931,3,46676,386,22549,85,6983,190,2458397,241263,10189711,Europe,143,5277,4
Costa Rica,69459,1400,795,14,26554,418,42110,253,13607,156,210057,41149,5104825,North America,73,6421,24
Venezuela,69439,0,574,0,58759,0,10106,146,2444,20,1920335,67577,28416979,South America,409,49507,15
Nepal,69301,1497,453,17,50411,457,18437,0,2369,15,955923,32675,29255303,Asia,422,64581,31
Bahrain,67701,687,231,0,60853,736,6617,59,39488,135,1378104,803808,1714470,Asia,25,7422,1
Nigeria,57724,0,1102,0,48985,0,7637,7,278,5,484051,2335,207278383,Africa,3591,188093,428
Singapore,57654,15,27,0,57333,42,294,0,9837,5,2692047,459319,5860958,Asia,102,217073,2
Czechia,56747,1283,567,12,27247,538,28933,120,5297,53,1263111,117898,10713617,Europe,189,18895,8
Uzbekistan,53834,559,446,2,50230,581,3158,283,1603,13,1377915,41034,33579667,Asia,624,75291,24
Switzerland,51492,391,2061,1,42600,500,6831,34,5940,238,1313944,151564,8669241,Europe,168,4206,7
Algeria,50579,179,1703,5,35544,116,13332,31,1149,39,0,0,44030062,Africa,871,25854,0
Moldova,48953,721,1252,8,36643,572,11058,592,12142,311,256481,63615,4031759,Europe,82,3220,16
Armenia,48251,374,945,3,43266,240,4040,0,16276,319,272235,91831,2964535,Asia,61,3137,11
Ghana,46153,0,299,0,45299,0,555,6,1478,10,474120,15187,31218719,Africa,676,104410,66
Kyrgyzstan,45757,127,1063,0,42005,101,2689,24,6987,162,267718,40882,6548608,Asia,143,6160,24
Austria,40816,832,783,6,31661,712,8372,78,4526,87,1507782,167191,9018304,Europe,221,11518,6
Azerbaijan,39686,162,581,1,37255,133,1850,0,3906,57,1080873,106383,10160216,Asia,256,17487,9
Afghanistan,39170,25,1451,5,32619,9,5100,93,1001,37,109469,2798,39124705,Asia,999,26964,357
Palestine,37591,508,274,2,26934,646,10383,0,7331,53,399412,77889,5127934,Asia,136,18715,13
Kenya,37489,141,669,5,24334,81,12486,44,694,12,506632,9376,54036855,Africa,1441,80773,107
Paraguay,35571,0,727,0,19867,0,14977,157,4973,102,258828,36187,7152579,South America,201,9838,28
Ireland,33994,318,1797,3,23364,0,8833,16,6867,363,1106992,223615,4950431,Europe,146,2755,4
Serbia,33163,83,745,1,31536,0,882,22,3799,85,1099022,125904,8729071,Europe,263,11717,8
Lebanon,32819,1027,329,1,14112,585,18378,139,4813,48,768181,112666,6818231,Asia,208,20724,9
Oceania,30865,88,900,5,27992,383,1973,19,0,0,0,0,0,Australia/Oceania,0,0,0
Libya,30632,535,474,5,16842,412,13316,0,4444,69,195018,28294,6892609,Africa,225,14541,35
El Salvador,28201,247,823,4,22326,213,5052,89,4343,127,374821,57720,6493797,North America,230,7890,17
Australia,26980,6,861,2,24448,32,1671,10,1055,34,7438033,290916,25567653,Australia/Oceania,948,29695,3
Bosnia and Herzegovina,26316,235,802,12,19142,508,6372,0,8033,245,231002,70514,3275988,Europe,124,4085,14
Denmark,24916,559,645,2,18646,287,5625,14,4298,111,3554377,613146,5796947,Europe,233,8988,2
S. Korea,23341,125,393,5,20832,182,2116,126,455,8,2268999,44248,51279500,Asia,2197,130482,23
Hungary,21200,750,709,7,4818,174,15673,32,2196,73,657437,68096,9654581,Europe,455,13617,15
Cameroon,20712,22,418,2,19440,316,854,30,776,16,149000,5582,26693113,Africa,1289,63859,179
Bulgaria,19573,290,785,6,14013,146,4775,30,2822,113,507451,73162,6936034,Europe,354,8836,14
Ivory Coast,19501,71,120,0,19003,128,378,0,735,5,156390,5896,26523874,Africa,1360,221032,170
North Macedonia,17200,151,712,2,14312,126,2176,3,8256,342,181034,86895,2083354,Europe,121,2926,12
Greece,16627,341,366,9,9989,0,6272,68,1597,35,1246363,119716,10411029,Europe,626,28445,8
Madagascar,16191,24,227,1,14833,45,1131,15,581,8,68787,2470,27849374,Africa,1720,122684,405
Croatia,15572,232,261,4,14111,296,1200,24,3799,64,279035,68069,4099274,Europe,263,15706,15
Senegal,14816,21,304,1,11818,100,2694,24,880,18,170433,10120,16841943,Africa,1137,55401,99
Zambia,14491,48,332,0,13643,14,516,0,783,18,146329,7911,18497912,Africa,1277,55717,126
Sudan,13592,14,836,0,6764,4,5992,0,308,19,0,0,44078162,Africa,3243,52725,0
Norway,13347,70,270,3,10371,0,2706,2,2458,50,999528,184040,5431023,Europe,407,20115,5
Tunisia,13305,826,180,6,5032,2646,8093,74,1123,15,212620,17947,11847009,Africa,890,65817,56
