Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
World,30685399,315101,955730,5460,22329346,298473,7400323,61299,3937,122.6,0,0,0,All,0,0,0
Asia,9224236,124450,173549,1835,7508847,120903,1541840,19609,0,0,0,0,0,Asia,0,0,0
North America,8249005,60373,296305,1278,5124399,46335,2828301,17716,0,0,0,0,0,North America,0,0,0
South America,7430006,70921,235810,1489,6167148,64526,1027048,15525,0,0,0,0,0,South America,0,0,0
USA,6924870,51345,203167,954,4190545,36855,2531158,14179,20894,613,96223461,290327,331431037,North America,48,1631,3
India,5305475,92789,85625,1221,4205201,95373,1014649,8944,3836,62,61572343,44522,1382974770,Asia,261,16152,22
Brazil,4497434,39991,135857,826,3789139,36057,572438,8318,21125,638,14617980,68664,212892060,South America,47,1567,15
Europe,4353830,51073,215502,656,2356300,59544,1782028,6970,0,0,0,0,0,Europe,0,0,0
Africa,1397246,8236,33677,197,1145275,7102,218294,1451,0,0,0,0,0,Africa,0,0,0
Russia,1091186,5905,19195,134,901207,5339,170784,2300,7477,132,42000000,287773,145948421,Europe,134,7603,3
Peru,756412,6314,31283,137,600795,6282,124334,1449,22872,946,3640863,110090,33071550,South America,44,1057,9
Colombia,750471,6526,23850,185,621521,6064,105100,863,14715,468,3332152,65334,51001424,South America,68,2138,15
Mexico,684113,3182,72179,201,488416,3392,123518,2557,5294,559,1549643,11991,129228908,North America,189,1790,83
Spain,659334,4697,30495,90,N/A,N/A,N/A,1345,14101,652,10756835,230049,46758818,Europe,71,1533,4
South Africa,657627,2055,15857,85,586844,1541,54926,539,11058,267,4003590,67320,59471455,Africa,90,3750,15
Argentina,613658,11945,12656,196,467286,10939,133716,3225,13551,279,1682249,37147,45286693,South America,74,3578,27
Chile,442827,1677,12199,57,415981,2053,14647,902,23121,637,2975891,155381,19152218,South America,43,1570,6
France,428696,13215,31248,153,91574,734,305874,827,6564,478,10000000,153126,65305619,Europe,152,2090,7
Iran,416198,3049,23952,144,355505,1657,36741,3869,4941,284,3691399,43827,84226863,Asia,202,3516,23
UK,385936,4322,41732,27,N/A,N/A,N/A,127,5678,614,21368297,314402,67964812,Europe,176,1629,3
Bangladesh,345805,1541,4881,22,252335,1923,88589,0,2095,30,1796509,10885,165048500,Asia,477,33814,92
Saudi Arabia,328720,576,4430,31,308352,1145,15938,1189,9411,127,5966884,170818,34931142,Asia,106,7885,6
Iraq,311690,4305,8408,76,245305,4205,57977,536,7712,208,2021586,50021,40414796,Asia,130,4807,20
Pakistan,304386,752,6408,9,291683,514,6295,579,1372,29,3090660,13934,221812336,Asia,729,34615,72
Turkey,299810,1771,7377,62,264805,1060,27628,1402,3546,87,9076278,107364,84537372,Asia,282,11460,9
Italy,294931,1906,35668,10,216807,853,42456,208,4880,590,10246163,169521,60441922,Europe,205,1695,6
Philippines,279498,3229,4830,47,208757,700,65911,1048,2543,44,3293210,29966,109898076,Asia,393,22753,33
Germany,271244,2202,9464,7,243000,1700,18780,246,3235,113,14557136,173623,83843383,Europe,309,8859,6
Indonesia,236519,3891,9336,114,170774,4088,56409,0,863,34,2841352,10364,274155866,Asia,1159,29365,96
Israel,179071,3815,1196,27,130024,3695,47851,581,19469,130,2931763,318753,9197590,Asia,51,7690,3
Ukraine,169472,3228,3468,68,75486,1573,90518,177,3880,79,1985802,45468,43674438,Europe,258,12594,22
Canada,141911,1044,9205,5,123723,614,8983,82,3753,243,6489802,171621,37814761,North America,266,4108,6
Bolivia,129419,547,7511,33,87716,685,34192,71,11054,642,282838,24158,11707604,South America,90,1559,41
Ecuador,124129,1872,11044,15,97063,0,16022,381,7013,624,376406,21265,17701050,South America,143,1603,47
Qatar,122917,224,209,1,119822,209,2886,59,43777,74,714183,254356,2807805,Asia,23,13434,4
